State,Land.Area,Density
Alabama," 50,750 ", 94.29 
Alaska," 570,641 ", 1.25 
Arizona," 113,642 ", 56.39 
Arkansas," 52,075 ", 56.11 
California," 155,973 ", 239.28 
Colorado," 103,730 ", 48.67 
Connecticut," 4,845 ", 738.73 
Delaware," 1,955 ", 460.15 
District of Columbia, 68 ," 8,898.31 "
Florida," 53,997 ", 349.02 
Georgia," 57,919 ", 167.68 
Hawaii," 6,423 ", 212.36 
Idaho," 82,751 ", 18.98 
Illinois," 55,593 ", 230.98 
Indiana," 35,870 ", 180.94 
Iowa," 55,875 ", 54.60 
Kansas," 81,823 ", 34.93 
Kentucky," 39,732 ", 109.44 
Louisiana," 43,566 ", 104.31 
Maine," 30,865 ", 43.01 
Maryland," 9,775 ", 592.19 
Massachusetts," 7,838 ", 837.77 
Michigan," 56,539 ", 174.70 
Minnesota," 79,617 ", 66.70 
Mississippi," 46,914 ", 63.32 
Missouri," 68,898 ", 87.03 
Montana," 145,556 ", 6.81 
Nebraska," 76,878 ", 23.80 
Nevada," 109,806 ", 24.61 
New Hampshire," 8,969 ", 146.81 
New Jersey," 7,419 "," 1,186.09 "
New Mexico," 121,365 ", 17.01 
New York," 47,224 ", 410.81 
North Carolina," 48,718 ", 196.52 
North Dakota," 68,994 ", 9.78 
Ohio," 40,953 ", 281.77 
Oklahoma," 68,679 ", 54.74 
Oregon," 96,003 ", 39.97 
Pennsylvania," 44,820 ", 283.60 
Puerto Rico," 3,515 "," 1,058.76 "
Rhode Island," 1,034 "," 1,019.28 "
South Carolina," 30,111 ", 153.95 
South Dakota," 75,898 ", 10.75 
Tennessee," 41,220 ", 154.18 
Texas," 261,914 ", 96.38 
Utah," 82,168 ", 33.78 
Vermont," 9,249 ", 67.67 
Virginia," 39,598 ", 202.63 
Washington," 66,582 ", 101.27 
West Virginia," 24,087 ", 76.98 
Wisconsin," 54,314 ", 104.77 
Wyoming," 97,105 ", 5.81 
