area_name,area_code,area_group,rank_2009,rank_2010,rank_2011,rank_2012,rank_2013,rank_2014,rank_2015,rank_2016,rank_2017,rank_2018,rank_2019,score_2009,score_2010,score_2011,score_2012,score_2013,score_2014,score_2015,score_2016,score_2017,score_2018,score_2019
Alabama,AL,Southeast,48,49,49,48,49,49,49,47,48,48,47,40.5,39.5,39.5,40.6,40.0,40.8,40.5,41.9,41.5,42.3,43.4
Alaska,AK,West,33,31,33,31,34,37,35,37,39,41,41,49.8,50.2,49.1,49.8,49.5,49.1,50.3,49.4,48.7,48.2,48.6
Arizona,AZ,Southwest,40,40,40,40,39,39,39,39,38,36,37,46.4,46.1,45.6,46.3,47.2,47.7,48.4,48.8,49.7,50.9,51.0
Arkansas,AR,Southeast,50,50,50,50,50,50,50,50,49,49,49,37.3,37.6,37.1,37.4,38.0,38.7,38.3,38.7,40.4,41.2,42.0
California,CA,West,32,34,31,33,33,33,32,31,32,29,24,50.0,48.9,49.3,49.2,49.6,50.1,50.9,51.5,52.6,53.2,55.3
Colorado,CO,West,7,7,7,6,7,5,4,5,7,7,8,59.5,59.4,58.8,59.3,59.7,60.7,61.1,61.3,61.4,61.7,61.0
Connecticut,CT,Northeast,2,2,2,2,2,2,2,2,2,2,2,64.7,64.0,63.5,63.0,64.6,64.5,65.3,64.8,65.7,66.2,66.2
Delaware,DE,Southeast,19,19,19,20,17,20,19,17,17,15,18,55.0,54.9,55.1,55.2,56.5,56.1,56.8,57.1,57.8,58.4,58.3
District of Columbia,DC,Southeast,21,20,20,19,21,19,20,19,18,19,11,54.7,54.8,54.7,55.3,55.1,56.3,56.3,56.8,57.8,57.8,60.6
Florida,FL,Southeast,35,35,35,34,35,32,33,33,34,31,30,49.0,48.9,48.8,48.9,49.3,50.5,50.6,50.8,51.6,52.4,53.5
Georgia,GA,Southeast,39,39,39,39,41,41,40,42,41,40,39,47.1,46.9,46.3,46.9,46.3,46.6,46.9,46.7,47.7,48.4,50.1
Hawaii,HI,West,15,17,18,17,18,17,18,18,19,17,17,56.6,55.7,55.1,55.8,56.3,56.6,56.9,56.9,57.7,58.0,58.4
Idaho,ID,West,26,25,27,28,29,29,29,30,28,30,31,52.3,52.0,50.7,51.0,51.0,51.1,51.8,51.8,53.1,52.8,53.4
Illinois,IL,Midwest,28,29,26,27,28,26,25,24,23,24,23,51.5,51.0,50.8,51.3,51.6,52.2,53.0,54.0,54.5,54.7,56.1
Indiana,IN,Midwest,37,36,37,38,38,38,38,36,37,37,32,48.0,48.1,47.5,47.7,48.2,48.2,48.8,49.5,49.8,50.6,52.2
Iowa,IA,Midwest,14,14,15,15,14,15,15,16,16,18,20,57.2,56.5,56.2,56.8,57.3,57.5,57.4,57.3,57.9,57.9,57.9
Kansas,KS,Midwest,25,27,25,24,24,24,27,26,27,23,27,52.7,51.6,51.0,52.2,52.7,53.1,52.6,53.0,53.3,55.0,54.1
Kentucky,KY,Southeast,47,46,46,46,46,46,45,46,45,47,45,41.4,41.8,41.7,41.6,42.0,42.2,42.3,42.9,43.8,43.3,45.2
Louisiana,LA,Southeast,46,47,47,47,47,47,47,48,50,50,50,41.4,40.9,41.0,41.0,41.0,41.7,41.2,41.8,40.3,40.8,40.6
Maine,ME,Northeast,18,15,17,18,19,18,17,20,20,20,15,56.3,56.1,55.4,55.4,56.0,56.3,56.9,56.5,57.7,57.8,58.7
Maryland,MD,Southeast,10,13,13,12,10,13,10,9,11,12,9,57.9,56.7,57.0,57.4,58.1,57.6,58.6,59.5,59.3,59.4,61.0
Massachusetts,MA,Northeast,1,1,1,1,1,1,1,1,1,1,1,65.6,65.2,64.6,64.8,65.8,66.2,65.9,65.5,65.9,66.9,67.6
Michigan,MI,Midwest,29,28,29,29,27,28,28,28,30,28,26,51.3,51.3,50.2,50.8,51.6,52.0,52.1,52.5,52.7,53.2,54.4
Minnesota,MN,Midwest,3,3,3,3,3,3,3,3,3,3,3,62.4,61.9,61.4,62.1,62.6,62.7,63.0,63.0,63.3,63.8,64.3
Mississippi,MS,Southeast,51,51,51,51,51,51,51,51,51,51,51,36.7,36.4,36.0,36.4,36.3,36.7,36.8,37.7,38.8,39.6,39.5
Missouri,MO,Midwest,36,37,36,37,37,36,37,38,35,38,36,48.5,47.6,47.7,48.3,48.6,49.3,48.9,49.3,50.2,50.0,51.3
Montana,MT,West,31,30,32,32,30,31,30,34,25,33,35,50.5,50.4,49.2,49.7,50.3,50.5,51.6,50.7,53.4,52.0,51.4
Nebraska,NE,Midwest,16,16,14,13,16,11,14,14,14,11,16,56.6,55.9,56.7,57.1,56.9,57.7,57.7,58.0,58.7,59.4,58.5
Nevada,NV,West,44,44,43,44,44,43,43,43,42,43,44,42.9,42.8,43.4,43.3,43.7,44.6,45.3,46.0,46.4,46.7,46.2
New Hampshire,NH,Northeast,4,4,5,5,5,4,7,6,5,5,4,60.8,60.1,59.7,59.9,59.9,60.8,60.2,61.2,62.2,62.1,63.2
New Jersey,NJ,Northeast,13,10,10,8,11,14,12,10,9,10,10,57.5,57.6,57.3,58.0,58.0,57.5,58.3,59.2,60.0,59.9,60.8
New Mexico,NM,Southwest,42,42,42,42,42,42,42,41,44,44,43,45.4,44.8,44.2,45.9,45.9,46.5,46.4,46.8,45.5,46.1,47.0
New York,NY,Northeast,8,8,9,10,12,12,13,12,10,9,12,58.4,58.2,57.5,57.7,57.7,57.7,58.3,58.4,59.8,60.1,60.1
North Carolina,NC,Southeast,30,32,30,30,31,30,31,29,29,26,28,50.7,50.2,49.9,50.4,50.3,50.9,51.5,52.1,52.8,53.5,53.9
North Dakota,ND,Midwest,12,12,12,14,13,9,11,13,12,16,21,57.6,57.2,57.0,56.9,57.6,58.2,58.3,58.2,59.2,58.4,57.5
Ohio,OH,Midwest,34,33,34,35,32,35,34,32,33,34,34,49.8,49.4,48.9,48.8,49.8,49.9,50.5,51.4,51.8,51.9,51.6
Oklahoma,OK,Southwest,45,45,45,45,45,45,46,45,46,45,46,42.7,42.3,41.8,41.8,42.1,42.2,42.2,43.1,43.5,43.8,44.8
Oregon,OR,West,23,22,22,22,22,22,22,22,22,22,22,53.7,53.6,53.0,53.4,54.6,54.5,55.0,55.2,55.6,56.0,56.2
Pennsylvania,PA,Northeast,22,23,23,23,23,23,23,23,24,25,25,53.8,53.3,52.9,53.0,53.1,53.6,53.9,54.3,53.9,54.3,55.2
Rhode Island,RI,Northeast,17,18,16,16,15,16,16,15,15,13,14,56.5,55.6,56.0,56.3,57.0,56.8,57.3,57.9,58.5,59.1,59.2
South Carolina,SC,Southeast,43,43,44,43,43,44,44,44,43,42,40,43.6,43.1,43.2,43.5,44.0,44.1,44.6,45.8,46.1,47.2,48.7
South Dakota,SD,Midwest,24,24,24,25,25,27,26,27,31,32,33,53.0,52.4,51.7,52.1,52.5,52.1,52.9,52.9,52.6,52.0,51.8
Tennessee,TN,Southeast,41,41,41,41,40,40,41,40,40,39,42,45.4,45.5,45.0,45.9,46.8,47.1,46.6,47.1,48.1,48.4,48.5
Texas,TX,Southwest,38,38,38,36,36,34,36,35,36,35,38,47.9,47.5,47.5,48.3,48.6,50.0,49.8,49.6,49.9,51.2,50.9
Utah,UT,West,9,9,11,11,9,8,8,8,8,8,7,58.3,58.1,57.3,57.4,58.4,59.1,59.0,59.9,60.2,60.5,61.4
Vermont,VT,Northeast,6,6,4,4,4,6,5,7,6,6,6,60.2,59.6,59.8,60.0,60.0,60.5,60.7,60.6,62.0,61.9,62.6
Virginia,VA,Southeast,20,21,21,21,20,21,21,21,21,21,19,54.9,54.8,54.5,55.0,55.5,56.1,56.1,55.4,56.4,57.2,58.3
Washington,WA,West,5,5,6,7,6,7,6,4,4,4,5,60.5,59.7,58.8,59.3,59.7,60.3,60.5,62.1,62.4,62.7,62.8
West Virginia,WV,Southeast,49,48,48,49,48,48,48,49,47,46,48,40.3,40.1,40.0,40.2,40.7,41.0,41.1,41.3,42.6,43.5,43.3
Wisconsin,WI,Midwest,11,11,8,9,8,10,9,11,13,14,13,57.7,57.6,57.5,58.0,58.6,58.1,58.7,58.8,58.9,58.5,59.8
Wyoming,WY,West,27,26,28,26,26,25,24,25,26,27,29,51.9,51.9,50.6,51.5,51.9,52.9,53.3,53.5,53.3,53.3,53.9
